iter	RMSE
0	1.271652009
1	1.254441986
2	1.240041488
3	1.226644464
4	1.212930025
5	1.20023829
6	1.187460256
7	1.176012839
8	1.163333032
9	1.150936325
10	1.139209188
11	1.128717707
12	1.117823757
13	1.108113727
14	1.098467179
15	1.087784091
16	1.077727749
17	1.067980799
18	1.058817302
19	1.049640988
20	1.043826219
21	1.036694645
22	1.028779886
23	1.020485688
24	1.013199798
25	1.005440177
26	0.9984521263
27	0.9936998854
28	0.9871370234
29	0.9814268614
30	0.9764249021
31	0.9697863842
32	0.9650614435
33	0.9598380178
34	0.9539597341
35	0.9479182576
36	0.9425021337
37	0.937764992
38	0.9323647997
39	0.929070706
40	0.9241585038
41	0.918853426
42	0.9153974835
43	0.9116551558
44	0.9072283348
45	0.9030565315
46	0.8994911788
47	0.8951019294
48	0.8909093001
49	0.8866670146
50	0.8825877481
51	0.8790691142
52	0.8754851961
53	0.8722824447
54	0.8680089383
55	0.8634563151
56	0.8600839476
57	0.8576261391
58	0.8551476564
59	0.8514527843
60	0.848283435
61	0.8449762945
62	0.8412973483
63	0.8376602332
64	0.8361736894
65	0.8329136814
66	0.8302930606
67	0.8283785243
68	0.8253950354
69	0.822599724
70	0.8200677683
71	0.8162881961
72	0.8135480871
73	0.8115573609
74	0.8100094301
75	0.8073455241
76	0.8051698716
77	0.8029244254
78	0.8006612999
79	0.7982530453
80	0.795035894
81	0.7928669801
82	0.7908549458
83	0.7881830813
84	0.7866399558
85	0.7849847817
86	0.7817425975
87	0.7793235692
88	0.7773217835
89	0.7755920836
90	0.7731778621
91	0.770989406
92	0.7693003892
93	0.7671420712
94	0.7650602531
95	0.7623788796
96	0.7594248759
97	0.7567139829
98	0.7547183959
99	0.7534439391
100	0.7526963097
101	0.7510053856
102	0.7494610165
103	0.7467189136
104	0.7445409858
105	0.742813221
106	0.7403931865
107	0.7378878399
108	0.7364125239
109	0.7354446617
110	0.7337416178
111	0.7316153758
112	0.7289400466
113	0.7272397165
114	0.7257426968
115	0.7242244348
116	0.7230385035
117	0.7217979613
118	0.7206097728
119	0.7187451863
120	0.717334662
121	0.7161985734
122	0.7146311854
123	0.7129054116
124	0.7105438811
125	0.708554535
126	0.7070540552
127	0.7062970318
128	0.7052170801
129	0.703815109
130	0.7024805392
131	0.7013737974
132	0.7003227517
133	0.7001252613
134	0.6987569048
135	0.6969537798
136	0.6948152433
137	0.693075751
138	0.6907416645
139	0.6886228597
140	0.6870335475
141	0.6855670942
142	0.6846283126
143	0.682912534
144	0.6813846567
145	0.6797081038
146	0.6782391776
147	0.6760244919
148	0.6742192078
149	0.6721488982
150	0.670845787
151	0.668836888
152	0.6670764266
153	0.6654036424
154	0.6635436181
155	0.6620259542
156	0.6601459121
157	0.6587110434
158	0.6574392311
159	0.6560625742
160	0.6548965624
161	0.6532908673
162	0.6518000623
163	0.6498520207
164	0.6480123801
165	0.6472036339
166	0.6459027385
167	0.6452544969
168	0.6442265794
169	0.6439259858
170	0.6430253455
171	0.640994089
172	0.6390004206
173	0.6381907101
174	0.6361691454
175	0.6344123374
176	0.6323771897
177	0.6309482468
178	0.6290864101
179	0.6278862176
180	0.6259928577
181	0.6246990516
182	0.6228528878
183	0.622782302
184	0.6200540788
185	0.6181165748
186	0.616118117
187	0.615620948
188	0.6141080708
189	0.6126056148
190	0.6114559687
191	0.6095190719
192	0.6078347415
193	0.6055008586
194	0.6036892467
195	0.6024318739
196	0.6007397881
197	0.5991470995
198	0.5975009602
199	0.5953426011
200	0.5937190464
201	0.5921080633
202	0.5910123863
203	0.5890608741
204	0.5872451948
205	0.5860347764
206	0.5848845236
207	0.5831458277
208	0.5820846015
209	0.5804179415
210	0.5798778243
211	0.577875278
212	0.5769560215
213	0.5752754932
214	0.573394659
215	0.5719478796
216	0.570136281
217	0.5688833361
218	0.5684740939
219	0.5669302539
220	0.5653647347
221	0.5635923081
222	0.563329831
223	0.5627129356
224	0.5607647971
225	0.5590409943
226	0.5577315191
227	0.5560875832
228	0.5545552434
229	0.5528769252
230	0.5510726358
231	0.5493825976
232	0.5474560623
233	0.5456540937
234	0.5441093656
235	0.5421219346
236	0.5408551645
237	0.5397573922
238	0.5379964082
239	0.5363427584
240	0.5349245004
241	0.5347427144
242	0.5332010879
243	0.5312033916
244	0.5296576395
245	0.5282153346
246	0.5266412581
247	0.5252960565
248	0.5251975333
249	0.5236729592
250	0.5225271423
251	0.5205269285
252	0.519421609
253	0.517797981
254	0.5177246804
255	0.5160693644
256	0.514553438
257	0.5136414871
258	0.5130074731
259	0.5117819718
260	0.5101973753
261	0.5086631997
262	0.5071218663
263	0.5060429971
264	0.5041948469
265	0.5041215977
266	0.502859008
267	0.5014403837
268	0.5013248026
269	0.4999832182
270	0.4986758215
271	0.4972605056
272	0.4959063961
273	0.494639723
274	0.4928179118
275	0.4914741998
276	0.4902852825
277	0.4902057767
278	0.4885187517
279	0.4872284396
280	0.4856873844
281	0.4839309556
282	0.4838611002
283	0.4828311862
284	0.4821052513
285	0.4807819099
286	0.4799953741
287	0.4787687361
288	0.4775572178
289	0.4765820931
290	0.4755097418
291	0.4742983767
292	0.4731214718
293	0.4719439209
294	0.4717328808
295	0.4698992807
296	0.4689528195
297	0.4676981069
298	0.4675358763
299	0.4661891805
300	0.4647861837
301	0.4635333608
302	0.4619912755
303	0.4612089653
304	0.4601076783
305	0.458445032
306	0.4572353863
307	0.45599469
308	0.4553562688
309	0.4545641544
310	0.4533112753
311	0.4531975937
312	0.4515360982
313	0.4509263676
314	0.4496411815
315	0.4488368189
316	0.4471486218
317	0.4456427067
318	0.4444055798
319	0.4432198477
320	0.4418657484
321	0.4407044129
322	0.4393268469
323	0.4392168693
324	0.4391148063
325	0.4381587039
326	0.4378432965
327	0.4377415343
328	0.4367781066
329	0.4356072462
330	0.4354586608
331	0.4343226886
332	0.4335033847
333	0.4323515905
334	0.4323010891
335	0.4315163017
336	0.4307978624
337	0.4297520783
338	0.4284134911
339	0.4272494609
340	0.4271572728
341	0.4270680568
342	0.4269762854
343	0.4256335666
344	0.4249048135
